id,created_on,last_edit,name,super_type_id
1,"2024-10-16 05:37:19.629401","2024-10-16 05:37:19.629423","Data Engineer",1
2,"2024-10-16 05:57:46.720634","2024-10-16 05:57:46.720655","Back-end Developer",3
3,"2024-10-16 05:57:57.398788","2024-10-16 05:57:57.398810","System Engineer",3
4,"2024-10-16 06:09:29.353646","2024-10-16 06:09:29.353667","Front-end Developer",3
5,"2024-10-16 06:11:54.404178","2024-10-16 06:11:54.404193","AI/ML Engineer",1
6,"2024-10-16 06:23:44.486950","2024-10-16 06:23:44.486970","Software Developer",3
7,"2024-10-16 06:30:29.679208","2024-10-16 06:30:29.679229","Game Developer",3
8,"2024-10-16 06:30:40.788645","2024-10-16 06:30:40.788655","Full-stack Developer",3
9,"2024-10-16 14:12:51.444612","2024-10-16 14:12:51.444620","Data Analyst",1
10,"2024-10-16 14:12:51.546895","2024-10-16 14:12:51.546904",CRM,4
11,"2024-10-16 14:12:51.547737","2024-10-16 14:12:51.547746","시장조사/분석",4
12,"2024-10-16 14:12:51.548509","2024-10-16 14:12:51.548517","Data Analyst",4
13,"2024-10-16 14:12:51.614029","2024-10-16 14:12:51.614038","BI Engineer",1
14,"2024-10-16 14:12:51.865288","2024-10-16 14:12:51.865296","Hardware Developer",3
15,"2024-10-16 14:12:51.905725","2024-10-16 14:12:51.905733","Technical Support",3
16,"2024-10-16 14:12:51.945725","2024-10-16 14:12:51.945733","ERP Specialist",3
17,"2024-10-16 14:12:51.999151","2024-10-16 14:12:51.999160","Mobile Developer",3
18,"2024-10-16 14:12:52.069646","2024-10-16 14:12:52.069654","Database Administrator (DBA)",3
19,"2024-10-16 14:12:52.137731","2024-10-16 14:12:52.137739","QA Engineer",3
20,"2024-10-16 14:12:53.922095","2024-10-16 14:12:53.922104","CTO (Chief Technology Officer)",3
21,"2024-10-16 14:21:55.546865","2024-10-16 14:21:55.546885","Data Engineer",5
22,"2024-10-16 14:21:55.572263","2024-10-16 14:21:55.572281","Back-end Developer",6
23,"2024-10-16 14:21:55.573938","2024-10-16 14:21:55.573956","System Engineer",6
24,"2024-10-16 14:21:55.598964","2024-10-16 14:21:55.598978","Front-end Developer",6
25,"2024-10-16 14:21:55.600245","2024-10-16 14:21:55.600259","Full-stack Developer",6
26,"2024-10-16 14:21:55.637927","2024-10-16 14:21:55.637936","Technical Support",6
27,"2024-10-16 14:21:55.664555","2024-10-16 14:21:55.664564","AI/ML Engineer",5
28,"2024-10-16 14:21:55.674176","2024-10-16 14:21:55.674185","Embedded Engineer",6
29,"2024-10-16 14:21:55.674941","2024-10-16 14:21:55.674949","Hardware Developer",6
30,"2024-10-16 14:21:55.776362","2024-10-16 14:21:55.776370","Network/Security Engineer",6
31,"2024-10-16 14:21:55.852029","2024-10-16 14:21:55.852038","Mobile Developer",6
32,"2024-10-16 14:21:55.860406","2024-10-16 14:21:55.860415","Software Developer",6
33,"2024-10-16 14:21:55.887697","2024-10-16 14:21:55.887706","Blockchain Developer",6
34,"2024-10-16 14:21:56.202052","2024-10-16 14:21:56.202060","Project Manager (PM)",6
35,"2024-10-16 14:21:56.241366","2024-10-16 14:21:56.241374","Back-end Developer",5
36,"2024-10-16 14:21:56.295868","2024-10-16 14:21:56.295877","Software Developer",5
37,"2024-10-16 14:21:56.675527","2024-10-16 14:21:56.675536","QA Engineer",6
38,"2024-10-16 14:21:56.756858","2024-10-16 14:21:56.756867","Database Administrator (DBA)",6
39,"2024-10-16 14:21:57.045352","2024-10-16 14:21:57.045360","System Engineer",5
40,"2024-10-16 14:21:58.023063","2024-10-16 14:21:58.023072","Project Manager (PM)",5
41,"2024-10-16 14:21:58.785251","2024-10-16 14:21:58.785260","Front-end Developer",5
42,"2024-10-16 14:22:00.295929","2024-10-16 14:22:00.295938","Technical Support",5
43,"2024-10-16 14:22:00.781400","2024-10-16 14:22:00.781409","Embedded Engineer",5
44,"2024-10-16 14:22:00.782217","2024-10-16 14:22:00.782226","Hardware Developer",5
45,"2024-10-16 14:22:01.712143","2024-10-16 14:22:01.712152","Full-stack Developer",5
46,"2024-10-16 14:22:03.466802","2024-10-16 14:22:03.466810","QA Engineer",5
47,"2024-10-16 14:22:03.567096","2024-10-16 14:22:03.567104","Mobile Developer",5
48,"2024-10-16 14:22:05.299770","2024-10-16 14:22:05.299779","Database Administrator (DBA)",5
