id,created_on,last_edit,job_posting_id,sub_type_id,super_type_id
1,"2024-10-16 06:01:32.440970","2024-10-16 06:01:32.440992",1,1,1
2,"2024-10-16 06:01:51.625689","2024-10-16 06:01:51.625720",2,2,3
3,"2024-10-16 06:02:04.139641","2024-10-16 06:02:04.139663",2,3,3
4,"2024-10-16 06:09:58.430257","2024-10-16 06:09:58.430279",3,4,3
5,"2024-10-16 06:12:19.055621","2024-10-16 06:12:19.055631",4,1,1
6,"2024-10-16 06:12:27.353122","2024-10-16 06:12:27.353153",4,5,1
7,"2024-10-16 06:15:54.674752","2024-10-16 06:15:54.674774",5,2,3
8,"2024-10-16 06:19:30.594791","2024-10-16 06:19:30.594807",6,5,1
9,"2024-10-16 06:24:00.098979","2024-10-16 06:24:00.099000",7,6,3
10,"2024-10-16 06:26:03.814102","2024-10-16 06:26:03.814123",8,6,3
11,"2024-10-16 06:30:48.834358","2024-10-16 06:30:48.834380",9,7,3
12,"2024-10-16 06:30:58.114311","2024-10-16 06:30:58.114333",9,8,3
13,"2024-10-16 06:31:14.672623","2024-10-16 06:31:14.672640",9,2,3
14,"2024-10-16 06:33:13.643470","2024-10-16 06:33:13.643491",10,2,3
15,"2024-10-16 14:12:51.342648","2024-10-16 14:12:51.342669",11,5,1
16,"2024-10-16 14:12:51.350056","2024-10-16 14:12:51.350075",12,1,1
17,"2024-10-16 14:12:51.355946","2024-10-16 14:12:51.355965",13,1,1
18,"2024-10-16 14:12:51.376888","2024-10-16 14:12:51.376906",14,1,1
19,"2024-10-16 14:12:51.384531","2024-10-16 14:12:51.384549",15,5,1
20,"2024-10-16 14:12:51.395465","2024-10-16 14:12:51.395483",16,5,1
21,"2024-10-16 14:12:51.406563","2024-10-16 14:12:51.406577",17,5,1
22,"2024-10-16 14:12:51.416437","2024-10-16 14:12:51.416445",18,1,1
23,"2024-10-16 14:12:51.417043","2024-10-16 14:12:51.417052",18,5,1
24,"2024-10-16 14:12:51.420985","2024-10-16 14:12:51.420993",19,1,1
25,"2024-10-16 14:12:51.427595","2024-10-16 14:12:51.427604",20,1,1
26,"2024-10-16 14:12:51.433720","2024-10-16 14:12:51.433729",21,5,1
27,"2024-10-16 14:12:51.439956","2024-10-16 14:12:51.439965",22,5,1
28,"2024-10-16 14:12:51.445126","2024-10-16 14:12:51.445135",23,9,1
29,"2024-10-16 14:12:51.450922","2024-10-16 14:12:51.450930",24,9,1
30,"2024-10-16 14:12:51.456832","2024-10-16 14:12:51.456841",25,5,1
31,"2024-10-16 14:12:51.462918","2024-10-16 14:12:51.462926",26,5,1
32,"2024-10-16 14:12:51.468887","2024-10-16 14:12:51.468895",27,5,1
33,"2024-10-16 14:12:51.472200","2024-10-16 14:12:51.472208",28,1,1
34,"2024-10-16 14:12:51.480458","2024-10-16 14:12:51.480466",29,1,1
35,"2024-10-16 14:12:51.484290","2024-10-16 14:12:51.484299",30,5,1
36,"2024-10-16 14:12:51.489047","2024-10-16 14:12:51.489055",31,5,1
37,"2024-10-16 14:12:51.495198","2024-10-16 14:12:51.495207",32,5,1
38,"2024-10-16 14:12:51.500033","2024-10-16 14:12:51.500042",33,5,1
39,"2024-10-16 14:12:51.505482","2024-10-16 14:12:51.505491",34,5,1
40,"2024-10-16 14:12:51.511399","2024-10-16 14:12:51.511408",35,5,1
41,"2024-10-16 14:12:51.516696","2024-10-16 14:12:51.516705",36,9,1
42,"2024-10-16 14:12:51.524326","2024-10-16 14:12:51.524334",37,9,1
43,"2024-10-16 14:12:51.524927","2024-10-16 14:12:51.524935",37,5,1
44,"2024-10-16 14:12:51.532240","2024-10-16 14:12:51.532248",38,9,1
45,"2024-10-16 14:12:51.534909","2024-10-16 14:12:51.534917",39,5,1
46,"2024-10-16 14:12:51.538983","2024-10-16 14:12:51.538992",40,9,1
