id,created_on,last_edit,job_posting_id,skill_id
1,"2024-10-16 05:54:22.335561","2024-10-16 05:54:22.335572",1,1
2,"2024-10-16 05:54:40.912714","2024-10-16 05:54:40.912736",1,2
3,"2024-10-16 05:54:48.979511","2024-10-16 05:54:48.979528",1,3
4,"2024-10-16 05:54:55.650178","2024-10-16 05:54:55.650201",1,4
6,"2024-10-16 05:55:09.218595","2024-10-16 05:55:09.218616",1,6
7,"2024-10-16 05:55:15.145247","2024-10-16 05:55:15.145268",1,7
8,"2024-10-16 05:55:20.488456","2024-10-16 05:55:20.488479",1,8
9,"2024-10-16 06:00:29.378188","2024-10-16 06:00:29.378209",2,9
10,"2024-10-16 06:00:37.922141","2024-10-16 06:00:37.922163",2,10
11,"2024-10-16 06:00:45.229766","2024-10-16 06:00:45.229787",2,11
12,"2024-10-16 06:00:51.658805","2024-10-16 06:00:51.658827",2,12
13,"2024-10-16 06:00:57.523122","2024-10-16 06:00:57.523142",2,13
14,"2024-10-16 06:08:29.026880","2024-10-16 06:08:29.026901",3,14
15,"2024-10-16 06:08:37.147309","2024-10-16 06:08:37.147330",3,15
16,"2024-10-16 06:08:44.489970","2024-10-16 06:08:44.489992",3,16
17,"2024-10-16 06:08:54.120969","2024-10-16 06:08:54.120991",3,17
18,"2024-10-16 06:09:01.099010","2024-10-16 06:09:01.099031",3,18
19,"2024-10-16 06:13:33.161605","2024-10-16 06:13:33.161625",4,11
20,"2024-10-16 06:13:41.496739","2024-10-16 06:13:41.496759",4,14
21,"2024-10-16 06:13:47.635392","2024-10-16 06:13:47.635413",4,15
22,"2024-10-16 06:13:55.224056","2024-10-16 06:13:55.224078",4,1
23,"2024-10-16 06:14:03.977003","2024-10-16 06:14:03.977019",4,19
24,"2024-10-16 06:14:11.450315","2024-10-16 06:14:11.450335",4,10
25,"2024-10-16 06:14:17.798072","2024-10-16 06:14:17.798094",4,4
26,"2024-10-16 06:17:13.045861","2024-10-16 06:17:13.045883",5,9
27,"2024-10-16 06:17:23.721318","2024-10-16 06:17:23.721339",5,20
28,"2024-10-16 06:17:31.281480","2024-10-16 06:17:31.281502",5,14
29,"2024-10-16 06:17:38.344751","2024-10-16 06:17:38.344772",5,21
30,"2024-10-16 06:20:49.692410","2024-10-16 06:20:49.692432",6,22
31,"2024-10-16 06:20:55.017557","2024-10-16 06:20:55.017578",6,1
32,"2024-10-16 06:21:02.667335","2024-10-16 06:21:02.667357",6,23
33,"2024-10-16 06:21:21.184798","2024-10-16 06:21:21.184819",6,4
34,"2024-10-16 06:21:29.166537","2024-10-16 06:21:29.166560",6,24
36,"2024-10-16 06:24:40.103523","2024-10-16 06:24:40.103544",7,23
37,"2024-10-16 06:24:46.640792","2024-10-16 06:24:46.640813",7,25
38,"2024-10-16 06:27:34.979697","2024-10-16 06:27:34.979718",8,1
39,"2024-10-16 06:27:42.408407","2024-10-16 06:27:42.408429",8,10
40,"2024-10-16 06:28:00.262231","2024-10-16 06:28:00.262253",8,26
41,"2024-10-16 06:28:10.569893","2024-10-16 06:28:10.569914",8,27
42,"2024-10-16 06:31:49.164778","2024-10-16 06:31:49.164800",9,4
43,"2024-10-16 06:33:49.962561","2024-10-16 06:33:49.962582",10,11
44,"2024-10-16 06:34:09.375007","2024-10-16 06:34:09.375029",10,28
45,"2024-10-16 06:34:15.947199","2024-10-16 06:34:15.947221",10,10
46,"2024-10-16 14:12:51.345087","2024-10-16 14:12:51.345108",11,4
47,"2024-10-16 14:12:51.351587","2024-10-16 14:12:51.351606",12,7
48,"2024-10-16 14:12:51.358633","2024-10-16 14:12:51.358652",13,29
49,"2024-10-16 14:12:51.360527","2024-10-16 14:12:51.360545",13,30
50,"2024-10-16 14:12:51.362041","2024-10-16 14:12:51.362059",13,1
51,"2024-10-16 14:12:51.363539","2024-10-16 14:12:51.363556",13,2
52,"2024-10-16 14:12:51.365007","2024-10-16 14:12:51.365025",13,3
53,"2024-10-16 14:12:51.366493","2024-10-16 14:12:51.366511",13,4
54,"2024-10-16 14:12:51.368294","2024-10-16 14:12:51.368311",13,31
55,"2024-10-16 14:12:51.369798","2024-10-16 14:12:51.369815",13,6
56,"2024-10-16 14:12:51.371307","2024-10-16 14:12:51.371325",13,7
57,"2024-10-16 14:12:51.372807","2024-10-16 14:12:51.372825",13,8
58,"2024-10-16 14:12:51.378422","2024-10-16 14:12:51.378440",14,30
59,"2024-10-16 14:12:51.380298","2024-10-16 14:12:51.380317",14,32
60,"2024-10-16 14:12:51.386368","2024-10-16 14:12:51.386386",15,33
61,"2024-10-16 14:12:51.387884","2024-10-16 14:12:51.387909",15,4
62,"2024-10-16 14:12:51.389372","2024-10-16 14:12:51.389391",15,24
63,"2024-10-16 14:12:51.391484","2024-10-16 14:12:51.391502",15,34
64,"2024-10-16 14:12:51.397347","2024-10-16 14:12:51.397365",16,35
65,"2024-10-16 14:12:51.398850","2024-10-16 14:12:51.398868",16,11
66,"2024-10-16 14:12:51.400348","2024-10-16 14:12:51.400366",16,1
67,"2024-10-16 14:12:51.401827","2024-10-16 14:12:51.401846",16,4
68,"2024-10-16 14:12:51.403473","2024-10-16 14:12:51.403492",16,31
69,"2024-10-16 14:12:51.407772","2024-10-16 14:12:51.407786",17,11
70,"2024-10-16 14:12:51.408791","2024-10-16 14:12:51.408800",17,36
71,"2024-10-16 14:12:51.409643","2024-10-16 14:12:51.409652",17,37
72,"2024-10-16 14:12:51.410348","2024-10-16 14:12:51.410357",17,1
73,"2024-10-16 14:12:51.411218","2024-10-16 14:12:51.411226",17,38
74,"2024-10-16 14:12:51.412085","2024-10-16 14:12:51.412094",17,39
75,"2024-10-16 14:12:51.412952","2024-10-16 14:12:51.412960",17,40
76,"2024-10-16 14:12:51.413672","2024-10-16 14:12:51.413681",17,4
77,"2024-10-16 14:12:51.414518","2024-10-16 14:12:51.414526",17,41
78,"2024-10-16 14:12:51.417765","2024-10-16 14:12:51.417773",18,6
79,"2024-10-16 14:12:51.418504","2024-10-16 14:12:51.418513",18,1
80,"2024-10-16 14:12:51.419213","2024-10-16 14:12:51.419222",18,3
81,"2024-10-16 14:12:51.421849","2024-10-16 14:12:51.421858",19,42
82,"2024-10-16 14:12:51.422561","2024-10-16 14:12:51.422570",19,1
83,"2024-10-16 14:12:51.423439","2024-10-16 14:12:51.423448",19,43
