id,created_on,last_edit,name,skill_cat_id
1,"2024-10-16 05:11:34.667856","2024-10-16 05:11:34.667883",Python,1
2,"2024-10-16 05:52:14.672106","2024-10-16 05:52:14.672128",Azure,2
3,"2024-10-16 05:52:31.295810","2024-10-16 05:52:31.295831",SQL,1
4,"2024-10-16 05:52:42.711884","2024-10-16 05:52:42.711900","Machine Learning",3
6,"2024-10-16 05:53:04.713268","2024-10-16 05:53:04.713289",AWS,2
7,"2024-10-16 05:53:11.393652","2024-10-16 05:53:11.393674",Spark,4
8,"2024-10-16 05:53:18.871228","2024-10-16 05:53:18.871244",GCP,2
9,"2024-10-16 05:59:36.936648","2024-10-16 05:59:36.936670",MySQL,6
10,"2024-10-16 05:59:44.818900","2024-10-16 05:59:44.818921",Linux,4
11,"2024-10-16 05:59:54.613294","2024-10-16 05:59:54.613314",Java,1
12,"2024-10-16 06:00:03.943846","2024-10-16 06:00:03.943868",Oracle,6
13,"2024-10-16 06:00:11.396093","2024-10-16 06:00:11.396113",Cisco,7
14,"2024-10-16 06:07:22.502454","2024-10-16 06:07:22.502475",JavaScript,8
15,"2024-10-16 06:07:31.527448","2024-10-16 06:07:31.527469",React,9
16,"2024-10-16 06:07:39.089985","2024-10-16 06:07:39.090006",HTML,8
17,"2024-10-16 06:07:49.672082","2024-10-16 06:08:01.423192",Next.js,9
18,"2024-10-16 06:08:11.480895","2024-10-16 06:08:11.480917",TypeScript,1
19,"2024-10-16 06:13:16.559681","2024-10-16 06:13:16.559703",Spring,9
20,"2024-10-16 06:16:44.870799","2024-10-16 06:16:44.870821",PHP,1
21,"2024-10-16 06:16:55.839992","2024-10-16 06:16:55.840013",Node.js,9
22,"2024-10-16 06:20:10.173024","2024-10-16 06:20:10.173034",PyTorch,10
23,"2024-10-16 06:20:20.348112","2024-10-16 06:20:20.348133",C++,1
24,"2024-10-16 06:20:33.810557","2024-10-16 06:20:33.810578","Deep Learning",3
25,"2024-10-16 06:24:30.674477","2024-10-16 06:24:30.674503",C#,1
26,"2024-10-16 06:27:00.698700","2024-10-16 06:27:00.698722",Jira,11
27,"2024-10-16 06:27:19.371835","2024-10-16 06:27:19.371856",Git,12
28,"2024-10-16 06:33:39.513244","2024-10-16 06:33:39.513265",Kotlin,1
29,"2024-10-16 14:12:51.357647","2024-10-16 14:12:51.357666",nosql,13
30,"2024-10-16 14:12:51.359749","2024-10-16 14:12:51.359767","데이터분석",13
31,"2024-10-16 14:12:51.367532","2024-10-16 14:12:51.367550",TensorFlow,10
32,"2024-10-16 14:12:51.379472","2024-10-16 14:12:51.379491","빅데이터 분석",13
33,"2024-10-16 14:12:51.385614","2024-10-16 14:12:51.385632",3d,13
34,"2024-10-16 14:12:51.390750","2024-10-16 14:12:51.390768",Docker,14
35,"2024-10-16 14:12:51.396556","2024-10-16 14:12:51.396574",Go,1
36,"2024-10-16 14:12:51.408425","2024-10-16 14:12:51.408433","알고리즘",13
37,"2024-10-16 14:12:51.409287","2024-10-16 14:12:51.409295",NLP,3
38,"2024-10-16 14:12:51.410858","2024-10-16 14:12:51.410866","성능평가",13
39,"2024-10-16 14:12:51.411718","2024-10-16 14:12:51.411726",MLOPS,13
40,"2024-10-16 14:12:51.412588","2024-10-16 14:12:51.412597","전문연구요원",13
41,"2024-10-16 14:12:51.414164","2024-10-16 14:12:51.414172","기술연구",13
42,"2024-10-16 14:12:51.421491","2024-10-16 14:12:51.421499","프로그래밍",13
43,"2024-10-16 14:12:51.423078","2024-10-16 14:12:51.423087","전처리",13
44,"2024-10-16 14:12:51.424638","2024-10-16 14:12:51.424646","데이터수집",13
45,"2024-10-16 14:12:51.425474","2024-10-16 14:12:51.425483","데이터엔지니어",13
46,"2024-10-16 14:12:51.437717","2024-10-16 14:12:51.437725","알고리즘 개발",13
47,"2024-10-16 14:12:51.442571","2024-10-16 14:12:51.442579","팀관리",13
48,"2024-10-16 14:12:51.447096","2024-10-16 14:12:51.447104","인사이트 도출",13
49,"2024-10-16 14:12:51.448682","2024-10-16 14:12:51.448691","데이터모델링",13
50,"2024-10-16 14:12:51.451425","2024-10-16 14:12:51.451433",EDA,13
51,"2024-10-16 14:12:51.453734","2024-10-16 14:12:51.453742",R,1
52,"2024-10-16 14:12:51.472702","2024-10-16 14:12:51.472710","시스템구축",13
53,"2024-10-16 14:12:51.474260","2024-10-16 14:12:51.474268","성과분석",13
54,"2024-10-16 14:12:51.475819","2024-10-16 14:12:51.475827",boto3,13
55,"2024-10-16 14:12:51.476677","2024-10-16 14:12:51.476686","데이터관리",13
56,"2024-10-16 14:12:51.477517","2024-10-16 14:12:51.477525",Airflow,4
57,"2024-10-16 14:12:51.478357","2024-10-16 14:12:51.478365",PostgreSQL,6
58,"2024-10-16 14:12:51.495705","2024-10-16 14:12:51.495714",C,1
59,"2024-10-16 14:12:51.500532","2024-10-16 14:12:51.500541",opencv,13
60,"2024-10-16 14:12:51.517204","2024-10-16 14:12:51.517212","data analysis",13
61,"2024-10-16 14:12:51.518063","2024-10-16 14:12:51.518072","Statistical Analysis",13
62,"2024-10-16 14:12:51.518903","2024-10-16 14:12:51.518911","Data modeling",13
63,"2024-10-16 14:12:51.519750","2024-10-16 14:12:51.519758","Data Mart Management",13
64,"2024-10-16 14:12:51.520586","2024-10-16 14:12:51.520594",BusinessIntelligence,13
65,"2024-10-16 14:12:51.521414","2024-10-16 14:12:51.521422","Data visualization",13
66,"2024-10-16 14:12:51.522245","2024-10-16 14:12:51.522253","Data Analytics",13
67,"2024-10-16 14:12:51.525429","2024-10-16 14:12:51.525438","커뮤니케이션",13
68,"2024-10-16 14:12:51.526298","2024-10-16 14:12:51.526306","통계",13
69,"2024-10-16 14:12:51.527158","2024-10-16 14:12:51.527167","비즈니스 영어",13
70,"2024-10-16 14:12:51.530137","2024-10-16 14:12:51.530145","한국어",13
71,"2024-10-16 14:12:51.536144","2024-10-16 14:12:51.536152","REST API",4
72,"2024-10-16 14:12:51.540229","2024-10-16 14:12:51.540237","Data analyst",13
73,"2024-10-16 14:12:51.541129","2024-10-16 14:12:51.541138",dw,13
74,"2024-10-16 14:12:51.544620","2024-10-16 14:12:51.544628","마케팅분석",13
75,"2024-10-16 14:12:51.549427","2024-10-16 14:12:51.549436",CRM,13
76,"2024-10-16 14:12:51.551027","2024-10-16 14:12:51.551035","CRM마케팅",13
77,"2024-10-16 14:12:51.559059","2024-10-16 14:12:51.559067","지표분석",13
78,"2024-10-16 14:12:51.559940","2024-10-16 14:12:51.559948","데이터",13
79,"2024-10-16 14:12:51.560801","2024-10-16 14:12:51.560809","지표",13
80,"2024-10-16 14:12:51.562389","2024-10-16 14:12:51.562398","지표관리",13
81,"2024-10-16 14:12:51.563253","2024-10-16 14:12:51.563261","마케팅",13
82,"2024-10-16 14:12:51.564115","2024-10-16 14:12:51.564123","게임",13
83,"2024-10-16 14:12:51.567462","2024-10-16 14:12:51.567470","빅데이터",13
84,"2024-10-16 14:12:51.568364","2024-10-16 14:12:51.568372",dbms,13
85,"2024-10-16 14:12:51.572297","2024-10-16 14:12:51.572305","AWS S3",2
