id,created_on,last_edit,name
1,"2024-10-16 05:07:20.094728","2024-10-16 05:07:20.094773",Languages
2,"2024-10-16 05:07:27.716276","2024-10-16 05:07:27.716308",Cloud
3,"2024-10-16 05:07:34.821596","2024-10-16 05:07:34.821627",AI
4,"2024-10-16 05:46:01.749868","2024-10-16 05:46:26.142754",Other
6,"2024-10-16 05:59:10.117844","2024-10-16 05:59:10.117865",Database
7,"2024-10-16 05:59:19.668713","2024-10-16 05:59:19.668734",Networking
8,"2024-10-16 06:06:56.440228","2024-10-16 06:06:56.440250",Frontend
9,"2024-10-16 06:07:03.613552","2024-10-16 06:07:03.613574","Web Frameworks"
10,"2024-10-16 06:20:00.134835","2024-10-16 06:20:00.134855","Data Science"
11,"2024-10-16 06:26:52.229983","2024-10-16 06:26:52.230005",Tools
12,"2024-10-16 06:27:11.574305","2024-10-16 06:27:11.574325","Version Control"
13,"2024-10-16 14:12:51.356671","2024-10-16 14:12:51.356690",Undefined
14,"2024-10-16 14:12:51.390036","2024-10-16 14:12:51.390053",DevOps
15,"2024-10-16 14:12:51.672887","2024-10-16 14:12:51.672896",Blockchain
16,"2024-10-16 14:12:51.851410","2024-10-16 14:12:51.851418","Mobile Development"
17,"2024-10-16 14:12:52.003354","2024-10-16 14:12:52.003362",Objective
18,"2024-10-16 14:12:52.070431","2024-10-16 14:12:52.070440",MS
19,"2024-10-16 14:12:52.604279","2024-10-16 14:12:52.604288",j
20,"2024-10-16 14:12:54.303189","2024-10-16 14:12:54.303197",Multi
21,"2024-10-16 14:12:54.412649","2024-10-16 14:12:54.412657",react
22,"2024-10-16 14:12:55.486988","2024-10-16 14:12:55.486996",x
23,"2024-10-16 14:21:56.323849","2024-10-16 14:21:56.323858",styled
24,"2024-10-16 14:21:58.061089","2024-10-16 14:21:58.061097",JSON
25,"2024-10-16 14:21:58.136688","2024-10-16 14:21:58.136700",redux
26,"2024-10-16 14:24:00.001726","2024-10-16 14:24:00.001734",OS
27,"2024-10-16 14:24:00.040790","2024-10-16 14:24:00.040798","Data Process"
28,"2024-10-16 14:24:00.642403","2024-10-16 14:24:00.642412","Data Analysis"
29,"2024-10-16 14:24:01.422457","2024-10-16 14:24:01.422466","Computer Vision"
